Date,Review,Rating
2023-12-06,It can be use with 256 GB micro SD card,5.0
2023-11-30,Service for operation provided by amazon is good,5.0
2024-01-20,CAMERA IS NOT WORKING I HAVE TRY TO CALL ON MOBILE NUMBER THROUGH Google search . No one is picking up. No one responding on complaint registered on APP no response. Feel helpless 😷😷😷😔😔😔,1.0
2023-10-11,"the cloud storage option provides convenint and secure storage for video footage. Overall, this camera has proven to be a valuable addition to my security setup",5.0
2024-02-16,Product stopped working after 2 months but there is no contact to claim warranty. Even website is out of service,1.0
2023-11-13,Nice camera quality but in the budget it’s too good go for it,5.0
2023-11-28,4g sim and wifi suport best product..iam happy.,5.0
2023-10-11,"Keeping my eye on my staff by placing this camera , currentaly its working fine will update soon about its performance..",5.0
2023-11-21,Value for money,5.0
2023-08-05,"both side voice is not established, no any help from help desk, always shown device offline while it is always connected with power.",2.0
2024-03-08,"Camera 5mp super... good rotate, alaram, voice activity ok, hd super.. problem 1) off power then on turn go to other side... then press button app come to our side turned...Problem 2) network issue some time.. totally camera go to offline.. blue light fast blinking.. can not connect to app... totally disconect to mobile.. then Camera Off.. then On..  after connect to mobile... so network issue problem..Can not solve me... last choice ,  camera power off then on... i dont like this issue only...",3.0
2023-10-20,Unbelieveable performances....Excellent product. It is best in cc camera' group.,5.0
2023-10-13,तुमच्या घराला सुरक्षित ठेवण्यात मदतीच्या काम करणारं CCTV कॅमेरा!,5.0
2023-10-25,Works well..like it...,5.0
2023-09-14,Most affordable camera with reasonably priced cloud recording option. Clarity of video is also good,5.0
2024-02-19,Not good quality,1.0
2023-10-09,Liked.. Performance looks very Good.,5.0
2023-09-19,"camera working excellent i recommendation Thank you,",5.0
2023-07-18,"Video recorded is not playing. Changed memory cards multiple times, but same problem.",2.0
2022-08-03,"I’m buying this product from Amazon, product is good for home or office",4.0
2023-07-22,"Happy with the camera... 3MP, 2 way talkback features are really good.",5.0
2022-07-21,Good product but the tilt range is low,4.0
2023-07-29,"Good camera, easy installation, good picture clarity",5.0
2023-04-30,Finally got best cctv for surveillance and human motion detection.Got instant notification on my phone for motion detection.,5.0
2023-11-06,Jio £ bsnl sim not worked.. sound quality is very poor .  You can not hear away 1 miter.,1.0
2023-06-11,Product was as per the need..!!It is justified..!!,5.0
2023-03-27,Human body not detected motion sensor,2.0
2023-10-30,"The media could not be loaded.
                



Ye camera network nhi ata h camera khud onn off hota rehta h and camra henge bhi hota h",1.0
2024-01-01,Hate it,1.0
2023-12-07,Connectivity is very poor#bakwas aap,1.0
2023-11-14,Memory card unable to formateWall mount bracket not included,1.0
2022-07-16,Recommended product. Really surprised to see the functions. Using at my home to monitor aged parents movements through mobile app. Really simple to install.,5.0
2022-08-18,"Simple to install , Two way sound is actually duplex, Great Picture quality.. Recommended to buy without any hesitation.. All ok..",5.0
2023-03-10,Amazing camera for home.,5.0
2023-05-23,Sd card is formatted but not detected in camera.. Sd card is working in mobile but not in cctv... Can you tell the format in which it needs to be formatted?,1.0
